rcity,grade,distance,rec,races,bet,refund,hit,refund_rate,roi,sample_from,sample_to
부산,국5등급,1600,rBOX4,56,22400,57480.0,13,2.5660714285714286,1.5660714285714286,20231201,20251221
부산,국5등급,1600,rBOX5,56,56000,76140.0,19,1.3596428571428572,0.35964285714285715,20231201,20251221
부산,국5등급,1600,rBOX6,56,112000,93950.0,26,0.8388392857142857,-0.1611607142857143,20231201,20251221
부산,국5등급,1800,A4,52,31200,18030.0,7,0.5778846153846153,-0.4221153846153846,20231201,20251221
부산,국5등급,1800,A5,52,52000,49550.0,11,0.9528846153846153,-0.047115384615384615,20231201,20251221
부산,국5등급,1800,A6,52,78000,97920.0,15,1.2553846153846153,0.2553846153846154,20231201,20251221
부산,국5등급,1800,rBOX4,52,20800,20780.0,8,0.9990384615384615,-0.0009615384615384616,20231201,20251221
부산,국5등급,1800,rBOX5,52,52000,40260.0,10,0.7742307692307693,-0.22576923076923078,20231201,20251221
부산,국5등급,1800,rBOX6,52,104000,77280.0,16,0.7430769230769231,-0.2569230769230769,20231201,20251221
부산,국6등급,1200,A4,15,9000,7780.0,5,0.8644444444444445,-0.13555555555555557,20231201,20251221
부산,국6등급,1200,A5,15,15000,8470.0,6,0.5646666666666667,-0.43533333333333335,20231201,20251221
부산,국6등급,1200,A6,15,22500,29150.0,8,1.2955555555555556,0.29555555555555557,20231201,20251221
부산,국6등급,1200,rBOX4,15,6000,11010.0,6,1.835,0.835,20231201,20251221
부산,국6등급,1200,rBOX5,15,15000,14200.0,7,0.9466666666666667,-0.05333333333333334,20231201,20251221
부산,국6등급,1200,rBOX6,15,30000,47699.99999999999,10,1.5899999999999999,0.5899999999999997,20231201,20251221
부산,국6등급,1300,A4,66,39600,76990.0,28,1.9441919191919192,0.9441919191919191,20231201,20251221
부산,국6등급,1300,A5,66,66000,112220.0,37,1.7003030303030302,0.7003030303030303,20231201,20251221
부산,국6등급,1300,A6,66,99000,139800.0,39,1.412121212121212,0.4121212121212121,20231201,20251221
부산,국6등급,1300,rBOX4,66,26400,38440.0,20,1.456060606060606,0.45606060606060606,20231201,20251221
부산,국6등급,1300,rBOX5,66,66000,126430.0,34,1.9156060606060605,0.9156060606060606,20231201,20251221
부산,국6등급,1300,rBOX6,66,132000,168570.0,44,1.2770454545454546,0.27704545454545454,20231201,20251221
부산,국6등급,1400,A4,76,45600,58910.0,29,1.2918859649122807,0.2918859649122807,20231201,20251221
부산,국6등급,1400,A5,76,76000,100030.0,35,1.3161842105263157,0.3161842105263158,20231201,20251221
부산,국6등급,1400,A6,76,114000,123720.0,39,1.085263157894737,0.08526315789473685,20231201,20251221
부산,국6등급,1400,rBOX4,76,30400,50040.0,23,1.6460526315789474,0.6460526315789473,20231201,20251221
부산,국6등급,1400,rBOX5,76,76000,74260.0,35,0.9771052631578947,-0.022894736842105263,20231201,20251221
부산,국6등급,1400,rBOX6,76,152000,221170.0,47,1.4550657894736843,0.4550657894736842,20231201,20251221
부산,국6등급,1600,A4,50,30000,52920.0,22,1.764,0.764,20231201,20251221
부산,국6등급,1600,A5,50,50000,67850.0,27,1.357,0.357,20231201,20251221
부산,국6등급,1600,A6,50,75000,131360.0,33,1.7514666666666667,0.7514666666666666,20231201,20251221
부산,국6등급,1600,rBOX4,50,20000,43260.0,19,2.163,1.163,20231201,20251221
부산,국6등급,1600,rBOX5,50,50000,57870.0,25,1.1574,0.1574,20231201,20251221
부산,국6등급,1600,rBOX6,50,100000,74110.0,31,0.7411,-0.2589,20231201,20251221
부산,국OPEN,1200,A4,4,2400,1970.0,3,0.8208333333333333,-0.17916666666666667,20231201,20251221
부산,국OPEN,1200,A5,4,4000,1970.0,3,0.4925,-0.5075,20231201,20251221
부산,국OPEN,1200,A6,4,6000,1970.0,3,0.3283333333333333,-0.6716666666666666,20231201,20251221
부산,국OPEN,1200,rBOX4,4,1600,810.0,2,0.50625,-0.49375,20231201,20251221
부산,국OPEN,1200,rBOX5,4,4000,1970.0,3,0.4925,-0.5075,20231201,20251221
부산,국OPEN,1200,rBOX6,4,8000,3560.0,4,0.445,-0.555,20231201,20251221
