년월,경마장,경주일,경주번호,등급,경주거리,출주두수,신마수,삼복승식배당율,실제_top3_마번,m_BOX4_picks,m_BOX6_picks,p_BOX4_picks,p_BOX6_picks,m_BOX4_hit,m_BOX6_hit,p_BOX4_hit,p_BOX6_hit,m_BOX4_bet,m_BOX6_bet,p_BOX4_bet,p_BOX6_bet,m_BOX4_refund,m_BOX6_refund,p_BOX4_refund,p_BOX6_refund,bet_unit
202401,부산,20240119,5,국5등급,1300.0,11,0,22.3,"3,5,8","4,5,3,9","4,5,3,9,10,2","5,4,3,7","5,4,3,7,9,10",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202401,부산,20240119,6,국5등급,1600.0,11,0,55.8,"4,8,11","1,6,10,11","1,6,10,11,4,8","9,4,1,8","9,4,1,8,7,6",0,1,0,0,400,2000,400,2000,0.0,5580.0,0.0,0.0,100
202401,부산,20240119,7,혼4등급,1400.0,11,0,67.6,"1,6,9","9,7,1,4","9,7,1,4,8,11","9,8,6,11","9,8,6,11,7,4",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202401,부산,20240119,8,혼4등급,1800.0,11,0,162.5,"3,7,9","9,3,1,8","9,3,1,8,6,11","9,10,4,1","9,10,4,1,2,3",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202401,부산,20240121,2,국6등급,1300.0,11,0,19.1,"2,3,5","3,2,10,7","3,2,10,7,1,4","3,4,5,9","3,4,5,9,2,1",0,0,0,1,400,2000,400,2000,0.0,0.0,0.0,1910.0000000000002,100
202401,부산,20240121,3,국5등급,1400.0,11,0,143.5,"1,3,11","2,10,3,11","2,10,3,11,6,1","10,2,3,1","10,2,3,1,11,4",0,1,0,1,400,2000,400,2000,0.0,14350.0,0.0,14350.0,100
202401,부산,20240121,4,혼4등급,1200.0,11,1,19.4,"4,8,9","8,6,1,4","8,6,1,4,3,9","8,11,9,6","8,11,9,6,5,4",0,1,0,1,400,2000,400,2000,0.0,1939.9999999999998,0.0,1939.9999999999998,100
202401,부산,20240121,6,2등급,1800.0,11,0,76.0,"1,2,9","2,1,6,7","2,1,6,7,11,3","1,5,2,4","1,5,2,4,3,9",0,0,0,1,400,2000,400,2000,0.0,0.0,0.0,7600.0,100
202401,부산,20240126,2,국6등급,1400.0,11,1,15.5,"2,4,7","5,7,2,11","5,7,2,11,10,1","7,5,2,11","7,5,2,11,10,4",0,0,0,1,400,2000,400,2000,0.0,0.0,0.0,1550.0,100
202401,부산,20240126,3,국6등급,1600.0,11,0,14.3,"3,8,11","11,3,1,10","11,3,1,10,7,4","11,8,7,3","11,8,7,3,1,10",0,0,1,1,400,2000,400,2000,0.0,0.0,1430.0,1430.0,100
202401,부산,20240126,4,국5등급,1400.0,11,0,11.2,"6,8,9","9,6,7,4","9,6,7,4,2,10","9,5,6,7","9,5,6,7,8,1",0,0,0,1,400,2000,400,2000,0.0,0.0,0.0,1120.0,100
202401,부산,20240126,5,국5등급,1300.0,11,1,23.5,"6,7,8","9,4,11,6","9,4,11,6,1,10","9,7,6,4","9,7,6,4,11,1",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202401,부산,20240126,6,국5등급,1200.0,11,1,19.0,"3,9,10","6,9,8,2","6,9,8,2,1,10","6,2,3,1","6,2,3,1,9,10",0,0,0,1,400,2000,400,2000,0.0,0.0,0.0,1900.0,100
202401,부산,20240126,7,혼4등급,1800.0,11,0,36.7,"7,9,10","10,7,3,6","10,7,3,6,11,4","7,10,11,1","7,10,11,1,9,2",0,0,0,1,400,2000,400,2000,0.0,0.0,0.0,3670.0000000000005,100
202401,부산,20240126,8,혼3등급,1400.0,11,0,25.2,"7,8,10","7,4,11,6","7,4,11,6,1,8","7,4,8,11","7,4,8,11,3,1",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202401,부산,20240128,2,국6등급,1300.0,11,0,71.8,"9,10,11","6,9,11,2","6,9,11,2,8,10","6,9,11,8","6,9,11,8,10,3",0,1,0,1,400,2000,400,2000,0.0,7180.0,0.0,7180.0,100
202401,부산,20240128,3,국5등급,1800.0,11,0,56.4,"3,9,10","10,1,5,2","10,1,5,2,7,9","10,5,9,6","10,5,9,6,7,8",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202401,부산,20240128,4,혼4등급,1200.0,11,1,41.5,"9,10,11","3,5,10,7","3,5,10,7,1,8","3,1,9,11","3,1,9,11,6,7",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202401,부산,20240128,5,국4등급,1600.0,11,0,37.3,"8,10,11","10,6,5,3","10,6,5,3,4,1","10,6,5,2","10,6,5,2,11,4",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202401,부산,20240128,6,1등급,2000.0,11,1,6.9,"2,7,10","2,9,10,7","2,9,10,7,6,3","10,2,9,3","10,2,9,3,6,11",1,1,0,0,400,2000,400,2000,690.0,690.0,0.0,0.0,100
202402,부산,20240202,4,국5등급,1200.0,12,1,39.0,"7,9,11","11,12,4,5","11,12,4,5,6,7","11,12,7,10","11,12,7,10,8,1",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
202402,부산,20240202,5,국5등급,1600.0,12,0,50.8,"4,9,10","11,7,12,2","11,7,12,2,1,3","9,5,7,11","9,5,7,11,6,2",0,0,0,0,400,2000,400,2000,0.0,0.0,0.0,0.0,100
