경마장,경주일,년월,경주번호,등급,경주거리,출주두수,신마수,정산여부,actual_top3,m_rank_top4,r_pop_top4,m_rank_top6,r_pop_top6,overlap_1to4,m_BOX4_hit,m_BOX4_refund,m_BOX4_bet,r_BOX4_hit,r_BOX4_refund,r_BOX4_bet,m_BOX6_hit,m_BOX6_refund,m_BOX6_bet,r_BOX6_hit,r_BOX6_refund,r_BOX6_bet
부산,20240105,202401,8,2등급,1400.0,11,0,SETTLED,"2,4,10","4,1,2,3","4,11,10,2","4,1,2,3,9,10","4,11,10,2,1,5",2,0,0.0,400,1,10120.0,400,1,10120.0,2000,1,10120.0,2000
부산,20240107,202401,1,국6등급,1400.0,11,1,SETTLED,"2,5,6","8,11,1,3","11,2,8,5","8,11,1,3,2,6","11,2,8,5,6,7",2,0,0.0,400,0,0.0,400,0,0.0,2000,1,7380.0,2000
부산,20240107,202401,2,국6등급,1300.0,11,0,SETTLED,"7,9,10","9,10,7,1","9,10,8,7","9,10,7,1,5,11","9,10,8,7,11,1",3,1,1470.0,400,1,1470.0,400,1,1470.0,2000,1,1470.0,2000
부산,20240107,202401,3,혼4등급,1600.0,11,0,SETTLED,"1,6,9","9,4,1,6","9,1,2,8","9,4,1,6,2,10","9,1,2,8,10,6",2,1,5090.0,400,0,0.0,400,1,5090.0,2000,1,5090.0,2000
부산,20240107,202401,4,혼4등급,1200.0,11,0,SETTLED,"5,6,9","4,8,9,3","8,4,5,9","4,8,9,3,5,10","8,4,5,9,3,10",3,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20240107,202401,5,국4등급,1400.0,11,0,SETTLED,"2,3,4","6,9,10,3","9,6,4,10","6,9,10,3,7,11","9,6,4,10,3,11",3,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20240107,202401,6,혼3등급,1800.0,11,0,SETTLED,"4,8,10","6,9,4,7","6,4,2,10","6,9,4,7,10,2","6,4,2,10,5,3",2,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20240112,202401,2,국6등급,1300.0,11,1,SETTLED,"6,8,10","10,5,7,9","10,5,6,8","10,5,7,9,8,4","10,5,6,8,4,3",2,0,0.0,400,1,10640.0,400,0,0.0,2000,1,10640.0,2000
부산,20240112,202401,3,국6등급,1400.0,11,0,SETTLED,"3,4,5","10,5,8,6","5,10,8,4","10,5,8,6,4,7","5,10,8,4,3,7",3,0,0.0,400,0,0.0,400,0,0.0,2000,1,2230.0,2000
부산,20240112,202401,5,국5등급,1200.0,10,0,SETTLED,"3,7,9","6,10,3,8","6,10,9,3","6,10,3,8,9,7","6,10,9,3,5,4",3,0,0.0,400,0,0.0,400,1,26350.0,2000,0,0.0,2000
부산,20240112,202401,6,국5등급,1300.0,8,0,SETTLED,"3,4,7","1,7,5,8","1,3,6,7","1,7,5,8,3,6","1,3,6,7,2,5",2,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20240112,202401,7,국5등급,1800.0,10,0,SETTLED,"5,6,7","1,9,2,10","1,5,9,2","1,9,2,10,7,6","1,5,9,2,6,10",3,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20240112,202401,8,혼3등급,1200.0,11,0,SETTLED,"1,2,5","5,3,2,4","5,9,6,3","5,3,2,4,6,7","5,9,6,3,7,11",2,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20240114,202401,2,국6등급,1600.0,11,1,SETTLED,"2,4,10","6,3,10,8","6,3,1,10","6,3,10,8,1,5","6,3,1,10,11,8",3,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20240114,202401,3,국5등급,1400.0,8,0,SETTLED,"2,3,7","5,7,6,4","7,5,6,2","5,7,6,4,3,8","7,5,6,2,4,3",3,0,0.0,400,0,0.0,400,0,0.0,2000,1,1910.0000000000002,2000
부산,20240114,202401,4,국5등급,1400.0,8,0,SETTLED,"1,2,7","1,5,4,8","7,1,6,5","1,5,4,8,2,6","7,1,6,5,3,8",2,0,0.0,400,0,0.0,400,0,0.0,2000,0,0.0,2000
부산,20240114,202401,5,국5등급,1300.0,8,0,SETTLED,"2,4,5","1,2,8,4","1,2,5,8","1,2,8,4,3,5","1,2,5,8,4,3",3,0,0.0,400,0,0.0,400,1,3890.0,2000,1,3890.0,2000
부산,20240114,202401,6,국4등급,1200.0,11,0,SETTLED,"2,4,10","2,8,7,4","2,6,7,8","2,8,7,4,10,5","2,6,7,8,4,10",3,0,0.0,400,0,0.0,400,1,9350.0,2000,1,9350.0,2000
부산,20240114,202401,7,혼4등급,1800.0,11,0,SETTLED,"2,5,6","6,1,7,2","1,6,4,2","6,1,7,2,3,4","1,6,4,2,5,3",3,0,0.0,400,0,0.0,400,0,0.0,2000,1,13880.000000000002,2000
