경마장,조합개수,순위,전략keys,전략명,경주수,적중경주수,적중율,총베팅액,총환수액,이익금액,ROI,구멍수,프리셋
서울,3,2,anchor2_38_trifecta + anchor2_37_trifecta + top4_box_trio,2축(3~8) 삼쌍 + 2축(3~7) 삼쌍 + 1~4 4복조 삼복,215,41,0.19069767441860466,1161000.0,1561720.0,400720.0,1.3451507321274763,54,
서울,3,3,anchor2_38_trifecta + anchor2_37_trifecta + anchor1_24_trio,2축(3~8) 삼쌍 + 2축(3~7) 삼쌍 + 1축(2~4) 삼복,215,36,0.16744186046511628,1139500.0,1530350.0,390850.0,1.3430013163668275,53,
서울,3,4,anchor2_38_trifecta + anchor2_37_trifecta + anchor1_25_trio,2축(3~8) 삼쌍 + 2축(3~7) 삼쌍 + 1축(2~5) 삼복,215,51,0.2372093023255814,1204000.0,1593870.0,389870.0,1.323812292358804,56,
서울,3,5,anchor12_3_7 + anchor2_38_trifecta + anchor2_37_trifecta,"1축,2축 / 3~7 삼쌍 + 2축(3~8) 삼쌍 + 2축(3~7) 삼쌍",215,30,0.13953488372093023,1182500.0,1563050.0,380550.0,1.3218181818181818,55,
서울,4,1,anchor1_57_24 + anchor2_38_trifecta + anchor2_37_trifecta + top4_box_trio,1축(5~7) / 2~4 삼쌍 + 2축(3~8) 삼쌍 + 2축(3~7) 삼쌍 + 1~4 4복조 삼복,215,50,0.23255813953488372,1354500.0,1760710.0,406210.0,1.2998966408268733,63,
서울,4,2,anchor1_57_24 + anchor2_38_trifecta + anchor2_37_trifecta + anchor1_24_trio,1축(5~7) / 2~4 삼쌍 + 2축(3~8) 삼쌍 + 2축(3~7) 삼쌍 + 1축(2~4) 삼복,215,45,0.20930232558139536,1333000.0,1729340.0,396340.0,1.2973293323330832,62,
서울,4,3,anchor2_38_trifecta + anchor2_37_trifecta + top4_box_trio + anchor1_24_trio,2축(3~8) 삼쌍 + 2축(3~7) 삼쌍 + 1~4 4복조 삼복 + 1축(2~4) 삼복,215,41,0.19069767441860466,1225500.0,1581990.0,356490.0,1.2908935128518972,57,
서울,4,4,anchor1_57_24 + anchor2_38_trifecta + anchor2_37_trifecta + anchor1_25_trio,1축(5~7) / 2~4 삼쌍 + 2축(3~8) 삼쌍 + 2축(3~7) 삼쌍 + 1축(2~5) 삼복,215,54,0.25116279069767444,1397500.0,1792860.0,395360.0,1.2829051878354203,65,
서울,4,5,anchor1_57_24 + anchor12_3_7 + anchor2_38_trifecta + anchor2_37_trifecta,"1축(5~7) / 2~4 삼쌍 + 1축,2축 / 3~7 삼쌍 + 2축(3~8) 삼쌍 + 2축(3~7) 삼쌍",215,39,0.1813953488372093,1376000.0,1762040.0,386040.0,1.2805523255813953,64,
서울,5,1,anchor2_37_trifecta + anchor2_38_trifecta + anchor2_137_trifecta + anchor1_57_24 + top3pair_46_trio,"2축(3~7) 삼쌍 + 2축(3~8) 삼쌍 + 2축(1,3~7) 삼쌍 + 1축(5~7) / 2~4 삼쌍 + 1~3 복조 / 4~6 삼복",215,69,0.3209302325581395,2107000.0,2592290.0,485290.0,1.2303227337446607,98,
서울,5,2,anchor2_37_trifecta + anchor2_38_trifecta + anchor2_137_trifecta + anchor1_57_24 + anchor2_36_trifecta,"2축(3~7) 삼쌍 + 2축(3~8) 삼쌍 + 2축(1,3~7) 삼쌍 + 1축(5~7) / 2~4 삼쌍 + 2축(3~6) 삼쌍",215,35,0.16279069767441862,2171500.0,2667100.0,495600.0,1.228229334561363,101,
