전략명,1착군,2착군,3착군,구멍수,적용경주수,전체기준경주수,적중수,적중률,총베팅액,총환수액,이익금,환수율,적중예시
1착(2~4) / 2착(7) / 3착(5) 삼쌍,2~4,7,5,3,1837,1837,9,0.004899292324442025,551100.0,2098600.0,1547500.0,3.808020322990383,"부산 20250119 5R (9, 1, 4) @1895.0 | 부산 20250404 4R (12, 6, 5) @179.0 | 부산 20250810 7R (4, 3, 6) @1578.0"
"1착(2~3,6) / 2착(7) / 3착(5) 삼쌍","2~3,6",7,5,3,1837,1837,9,0.004899292324442025,551100.0,2096200.0,1545100.0,3.8036653964797678,"부산 20250119 5R (9, 1, 4) @1895.0 | 부산 20250810 7R (4, 3, 6) @1578.0 | 부산 20251107 3R (1, 3, 12) @14300.0"
"1착(1,7~8) / 2착(4) / 3착(6) 삼쌍","1,7~8",4,6,3,1837,1837,16,0.008709853021230268,551100.0,2086300.0,1535200.0,3.7857013246234805,"부산 20250117 4R (11, 2, 1) @258.0 | 부산 20250302 2R (11, 5, 3) @427.0 | 부산 20250418 7R (7, 9, 8) @45.0"
"1착(7) / 2착(4) / 3착(1,3,6) 삼쌍",7,4,"1,3,6",3,1837,1837,4,0.002177463255307567,551100.0,2083700.0,1532600.0,3.780983487570314,"부산 20251002 8R (5, 3, 6) @943.0 | 부산 20251121 8R (5, 7, 4) @17900.0 | 서울 20260125 9R (6, 10, 5) @1541.0"
"1착(7) / 2착(4) / 3착(1,5~6) 삼쌍",7,4,"1,5~6",3,1837,1837,4,0.002177463255307567,551100.0,2083700.0,1532600.0,3.780983487570314,"부산 20251002 8R (5, 3, 6) @943.0 | 부산 20251121 8R (5, 7, 4) @17900.0 | 서울 20260125 9R (6, 10, 5) @1541.0"
"1착(2,7~8) / 2착(4) / 3착(6) 삼쌍","2,7~8",4,6,3,1837,1837,6,0.00326619488296135,551100.0,2082500.0,1531400.0,3.7788060243150063,"부산 20250525 4R (11, 6, 9) @142.0 | 부산 20250905 8R (5, 6, 2) @1842.0 | 부산 20251017 7R (10, 8, 12) @843.0"
"1착(3,7) / 2착(4) / 3착(1,6) 삼쌍","3,7",4,"1,6",4,1837,1837,21,0.011431682090364725,734800.0,2766700.0,2031900.0,3.765242242787153,"부산 20250209 5R (11, 9, 6) @557.0 | 부산 20250810 10R (5, 8, 4) @167.0 | 부산 20250824 6R (11, 3, 7) @212.0"
1착(5~6) / 2착(1) / 3착(3) 삼쌍,5~6,1,3,2,1837,1837,13,0.007076755579749592,367400.0,1381500.0,1014100.0,3.760206859009254,"부산 20250817 1R (4, 2, 1) @47.0 | 부산 20251130 6R (12, 10, 9) @2648.0 | 부산 20260213 2R (3, 9, 11) @194.0"
"1착(2,5) / 2착(8) / 3착(1) 삼쌍","2,5",8,1,2,1837,1837,7,0.003810560696788242,367400.0,1376300.0,1008900.0,3.746053347849755,"부산 20251212 8R (6, 7, 8) @4669.0 | 부산 20260227 7R (6, 4, 3) @212.0 | 서울 20250628 8R (11, 1, 8) @5490.0"
1착(4) / 2착(8) / 3착(3) 삼쌍,4,8,3,1,1837,1837,4,0.002177463255307567,183700.0,687400.0,503700.0,3.7419706042460534,"부산 20250103 5R (5, 3, 12) @2815.0 | 부산 20250103 8R (10, 6, 2) @3449.0 | 서울 20250209 5R (1, 5, 10) @497.0"
1착(4~6) / 2착(1) / 3착(3) 삼쌍,4~6,1,3,3,1837,1837,25,0.013609145345672292,551100.0,2054200.0,1503100.0,3.727454182544003,"부산 20250214 5R (11, 10, 4) @3721.0 | 부산 20250425 2R (5, 6, 7) @121.0 | 부산 20250711 5R (1, 5, 7) @153.0"
"1착(7) / 2착(4) / 3착(2,6,8) 삼쌍",7,4,"2,6,8",3,1837,1837,6,0.00326619488296135,551100.0,2053500.0,1502400.0,3.7261839956450733,"부산 20250926 7R (3, 9, 5) @1294.0 | 부산 20251019 6R (9, 10, 8) @595.0 | 부산 20251121 8R (5, 7, 4) @17900.0"
"1착(2,6) / 2착(1) / 3착(3) 삼쌍","2,6",1,3,2,1837,1837,23,0.012520413718018509,367400.0,1365100.0,997700.0,3.715568862275449,"부산 20250509 3R (3, 6, 5) @76.0 | 부산 20250606 7R (10, 8, 6) @118.0 | 부산 20250801 12R (7, 11, 5) @305.0"
"1착(1,5) / 2착(4) / 3착(8) 삼쌍","1,5",4,8,2,1837,1837,8,0.004354926510615134,367400.0,1363500.0,996100.0,3.711213935764834,"부산 20250207 8R (6, 9, 12) @2751.0 | 부산 20250518 4R (6, 10, 2) @858.0 | 부산 20260104 1R (11, 3, 5) @9278.0"
"1착(1~3,7) / 2착(4) / 3착(6) 삼쌍","1~3,7",4,6,4,1837,1837,23,0.012520413718018509,734800.0,2725600.0,1990800.0,3.70930865541644,"부산 20250117 4R (11, 2, 1) @258.0 | 부산 20250302 2R (11, 5, 3) @427.0 | 부산 20250418 7R (7, 9, 8) @45.0"
1착(5) / 2착(8) / 3착(1~2) 삼쌍,5,8,1~2,2,1837,1837,5,0.0027218290691344584,367400.0,1362000.0,994600.0,3.7071311921611323,"부산 20250622 2R (8, 5, 9) @4092.0 | 부산 20260227 7R (6, 4, 3) @212.0 | 서울 20250628 8R (11, 1, 8) @5490.0"
"1착(4) / 2착(1,8) / 3착(3) 삼쌍",4,"1,8",3,2,1837,1837,16,0.008709853021230268,367400.0,1360100.0,992700.0,3.701959716929777,"부산 20250103 5R (5, 3, 12) @2815.0 | 부산 20250103 8R (10, 6, 2) @3449.0 | 부산 20250214 5R (11, 10, 4) @3721.0"
"1착(2,4,6) / 2착(1) / 3착(3) 삼쌍","2,4,6",1,3,3,1837,1837,35,0.01905280348394121,551100.0,2037800.0,1486700.0,3.6976955180547995,"부산 20250214 5R (11, 10, 4) @3721.0 | 부산 20250425 2R (5, 6, 7) @121.0 | 부산 20250509 3R (3, 6, 5) @76.0"
"1착(7) / 2착(4) / 3착(2~3,6) 삼쌍",7,4,"2~3,6",3,1837,1837,5,0.0027218290691344584,551100.0,2032900.0,1481800.0,3.6888042097622935,"부산 20250926 7R (3, 9, 5) @1294.0 | 부산 20251019 6R (9, 10, 8) @595.0 | 부산 20251121 8R (5, 7, 4) @17900.0"
